id,repo,commit,source,target,repo_id,lib_pair_id,total_tests,premig_passed_tests,llmmig_has_result,llmmig_passed_tests,llmmig_correctness,llmmig_abs_improvement,llmmig_rel_improvement,merge_skipped_has_result,merge_skipped_passed_tests,merge_skipped_correctness,merge_skipped_abs_improvement,merge_skipped_rel_improvement,async_transform_has_result,async_transform_passed_tests,async_transform_correctness,async_transform_abs_improvement,async_transform_rel_improvement,overall_correctness,best_round,manual_edit_has_result,manual_edit_passed_tests,manual_edit_correctness,manual_edit_abs_improvement,manual_edit_rel_improvement,premig_to_best_migloc,best_to_manual_edit_migloc
evanp@ap__90969daf__tabulate__rich,evanp/ap,90969daf,tabulate,rich,evanp@ap__90969daf,tabulate__rich,48,48,True,39,0.8125,-1,-1,False,-1,0.8125,-1,-1.0,False,-1,0.8125,-1,-1.0,0.8125,llmmig,,-1,-1,-1,-1,134,0
saaste@fmi-weather-client__dfdda122__requests__urllib3,saaste/fmi-weather-client,dfdda122,requests,urllib3,saaste@fmi-weather-client__dfdda122,requests__urllib3,21,17,True,9,0.5294117647058824,-1,-1,False,-1,0.5294117647058824,-1,-1.0,False,-1,0.5294117647058824,-1,-1.0,0.5294117647058824,llmmig,,-1,-1,-1,-1,27,0
arvatoaws-labs@k8soptimizer__212a7278__requests__urllib3,arvatoaws-labs/k8soptimizer,212a7278,requests,urllib3,arvatoaws-labs@k8soptimizer__212a7278,requests__urllib3,47,47,True,47,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,42,0
eyeseast@python-frontmatter__025a94c2__toml__tomli,eyeseast/python-frontmatter,025a94c2,toml,tomli,eyeseast@python-frontmatter__025a94c2,toml__tomli,56,56,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,15,0
saaste@fmi-weather-client__dfdda122__requests__treq,saaste/fmi-weather-client,dfdda122,requests,treq,saaste@fmi-weather-client__dfdda122,requests__treq,21,17,True,7,0.4117647058823529,-1,-1,False,-1,0.4117647058823529,-1,-1.0,False,-1,0.4117647058823529,-1,-1.0,0.4117647058823529,llmmig,,-1,-1,-1,-1,6,0
j4asper@dmr.py__8f335fd5__requests__requests_futures,j4asper/dmr.py,8f335fd5,requests,requests_futures,j4asper@dmr.py__8f335fd5,requests__requests_futures,13,6,True,6,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,16,0
trellis-ldp@py-ldnlib__83703c26__requests__requests_futures,trellis-ldp/py-ldnlib,83703c26,requests,requests_futures,trellis-ldp@py-ldnlib__83703c26,requests__requests_futures,13,13,True,1,0.07692307692307693,-1,-1,False,-1,0.07692307692307693,-1,-1.0,False,-1,0.07692307692307693,-1,-1.0,0.07692307692307693,llmmig,,-1,-1,-1,-1,29,0
spiketools@spiketools__3df1ec3a__matplotlib__seaborn,spiketools/spiketools,3df1ec3a,matplotlib,seaborn,spiketools@spiketools__3df1ec3a,matplotlib__seaborn,212,207,True,163,0.7874396135265701,-1,-1,False,-1,0.7874396135265701,-1,-1.0,False,-1,0.7874396135265701,-1,-1.0,0.7874396135265701,llmmig,,-1,-1,-1,-1,167,0
bormando@selenium-tools__52667925__urllib3__httpx,bormando/selenium-tools,52667925,urllib3,httpx,bormando@selenium-tools__52667925,urllib3__httpx,10,7,True,9,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,21,0
python-cas@python-cas__5697dcc5__requests__pycurl,python-cas/python-cas,5697dcc5,requests,pycurl,python-cas@python-cas__5697dcc5,requests__pycurl,21,21,True,20,0.9523809523809523,-1,-1,False,-1,0.9523809523809523,-1,-1.0,False,-1,0.9523809523809523,-1,-1.0,0.9523809523809523,llmmig,,-1,-1,-1,-1,92,0
pittcsc@pittapi__275fb928__urllib3__httpx,pittcsc/pittapi,275fb928,urllib3,httpx,pittcsc@pittapi__275fb928,urllib3__httpx,73,73,True,65,0.8904109589041096,-1,-1,False,-1,0.8904109589041096,-1,-1.0,False,-1,0.8904109589041096,-1,-1.0,0.8904109589041096,llmmig,,-1,-1,-1,-1,14,0
chrispappalardo@eparse__6f799d21__click__typer,chrispappalardo/eparse,6f799d21,click,typer,chrispappalardo@eparse__6f799d21,click__typer,21,21,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,250,0
hwonyo@naver_talk_sdk__bf64ca59__requests__pycurl,hwonyo/naver_talk_sdk,bf64ca59,requests,pycurl,hwonyo@naver_talk_sdk__bf64ca59,requests__pycurl,60,60,True,39,0.65,-1,-1,False,-1,0.65,-1,-1.0,False,-1,0.65,-1,-1.0,0.65,llmmig,,-1,-1,-1,-1,46,0
martin-majlis@wikipedia-api__a58db566__requests__pycurl,martin-majlis/wikipedia-api,a58db566,requests,pycurl,martin-majlis@wikipedia-api__a58db566,requests__pycurl,66,66,True,63,0.9545454545454546,-1,-1,False,-1,0.9545454545454546,-1,-1.0,False,-1,0.9545454545454546,-1,-1.0,0.9545454545454546,llmmig,,-1,-1,-1,-1,25,0
saleweaver@rapid-rest-client__79aa8970__requests__aiohttp,saleweaver/rapid-rest-client,79aa8970,requests,aiohttp,saleweaver@rapid-rest-client__79aa8970,requests__aiohttp,9,4,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1,-1,-1,93,0
unpywall@unpywall__7909fde0__requests__pycurl,unpywall/unpywall,7909fde0,requests,pycurl,unpywall@unpywall__7909fde0,requests__pycurl,26,23,True,16,0.6956521739130435,-1,-1,False,-1,0.6956521739130435,-1,-1.0,False,-1,0.6956521739130435,-1,-1.0,0.6956521739130435,llmmig,,-1,-1,-1,-1,137,0
github@evergreen__3189dd33__python-dotenv__environs,github/evergreen,3189dd33,python-dotenv,environs,github@evergreen__3189dd33,python-dotenv__environs,117,117,True,74,0.6324786324786325,-1,-1,False,-1,0.6324786324786325,-1,-1.0,False,-1,0.6324786324786325,-1,-1.0,0.6324786324786325,llmmig,,-1,-1,-1,-1,68,0
rochacbruno@dundie-rewards__e35d6be5__click__plac,rochacbruno/dundie-rewards,e35d6be5,click,plac,rochacbruno@dundie-rewards__e35d6be5,click__plac,27,26,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,67,0
colour-science@colour-datasets__aa4ae7be__tqdm__progressbar2,colour-science/colour-datasets,aa4ae7be,tqdm,progressbar2,colour-science@colour-datasets__aa4ae7be,tqdm__progressbar2,107,43,True,43,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,17,0
alexferl@vyper__a0a6ea7f__toml__tomlkit,alexferl/vyper,a0a6ea7f,toml,tomlkit,alexferl@vyper__a0a6ea7f,toml__tomlkit,42,42,True,40,0.9523809523809523,-1,-1,False,-1,0.9523809523809523,-1,-1.0,False,-1,0.9523809523809523,-1,-1.0,0.9523809523809523,llmmig,,-1,-1,-1,-1,16,0
julian@venvs__71ef4365__click__typer,julian/venvs,71ef4365,click,typer,julian@venvs__71ef4365,click__typer,83,54,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,253,0
gugarosa@learnergy__870d8a6b__matplotlib__seaborn,gugarosa/learnergy,870d8a6b,matplotlib,seaborn,gugarosa@learnergy__870d8a6b,matplotlib__seaborn,169,157,True,154,0.9808917197452229,-1,-1,False,-1,0.9808917197452229,-1,-1.0,False,-1,0.9808917197452229,-1,-1.0,0.9808917197452229,llmmig,,-1,-1,-1,-1,21,0
mindsdb@mindsdb_sql__5a7cf55c__sqlalchemy__sqlobject,mindsdb/mindsdb_sql,5a7cf55c,sqlalchemy,sqlobject,mindsdb@mindsdb_sql__5a7cf55c,sqlalchemy__sqlobject,689,688,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,272,0
ornl@tx2__ce713605__tqdm__progressbar2,ornl/tx2,ce713605,tqdm,progressbar2,ornl@tx2__ce713605,tqdm__progressbar2,27,27,True,27,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,26,0
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__cherrypy,cskorpion/vmprof-firefox-converter,e1f6bb79,flask,cherrypy,cskorpion@vmprof-firefox-converter__e1f6bb79,flask__cherrypy,59,56,True,56,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,39,0
internetarchive@openlibrary-client__7e45d512__requests__pycurl,internetarchive/openlibrary-client,7e45d512,requests,pycurl,internetarchive@openlibrary-client__7e45d512,requests__pycurl,46,46,True,37,0.8043478260869565,-1,-1,True,37,0.8043478260869565,0,0.0,False,-1,0.8043478260869565,-1,-1.0,0.8043478260869565,llmmig,,-1,-1,-1,-1,181,0
yihong0618@klingcreator__e567c6a1__requests__httpx,yihong0618/klingcreator,e567c6a1,requests,httpx,yihong0618@klingcreator__e567c6a1,requests__httpx,21,21,True,21,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,24,0
datamade@census__dd8b5b5e__requests__urllib3,datamade/census,dd8b5b5e,requests,urllib3,datamade@census__dd8b5b5e,requests__urllib3,17,17,True,17,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,43,0
python-cas@python-cas__5697dcc5__requests__aiohttp,python-cas/python-cas,5697dcc5,requests,aiohttp,python-cas@python-cas__5697dcc5,requests__aiohttp,21,21,True,1,0.047619047619047616,-1,-1,False,-1,0.047619047619047616,-1,-1.0,True,1,0.047619047619047616,0,0.0,0.047619047619047616,llmmig,,-1,-1,-1,-1,110,0
pklauke@pycamunda__fdab7274__requests__treq,pklauke/pycamunda,fdab7274,requests,treq,pklauke@pycamunda__fdab7274,requests__treq,999,999,True,410,0.41041041041041043,-1,-1,False,-1,0.41041041041041043,-1,-1.0,False,-1,0.41041041041041043,-1,-1.0,0.41041041041041043,llmmig,,-1,-1,-1,-1,77,0
treasure-data@td-client-python__099f9578__urllib3__httpx,treasure-data/td-client-python,099f9578,urllib3,httpx,treasure-data@td-client-python__099f9578,urllib3__httpx,292,290,True,77,0.2655172413793103,-1,-1,True,77,0.2655172413793103,0,0.0,False,-1,0.2655172413793103,-1,-1.0,0.2655172413793103,llmmig,,-1,-1,-1,-1,116,0
opendilab@di-toolkit__8d728a42__tqdm__progressbar2,opendilab/di-toolkit,8d728a42,tqdm,progressbar2,opendilab@di-toolkit__8d728a42,tqdm__progressbar2,55,53,True,53,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,27,0
giuliorossetti@ash__1106b609__tqdm__progressbar2,giuliorossetti/ash,1106b609,tqdm,progressbar2,giuliorossetti@ash__1106b609,tqdm__progressbar2,80,77,True,77,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,10,0
goranvrbaski@python-namesilo__4c867e65__requests__httpx,goranvrbaski/python-namesilo,4c867e65,requests,httpx,goranvrbaski@python-namesilo__4c867e65,requests__httpx,32,32,True,30,0.9375,-1,-1,False,-1,0.9375,-1,-1.0,False,-1,0.9375,-1,-1.0,0.9375,llmmig,,-1,-1,-1,-1,6,0
octodns@octodns-ddns__d152390d__requests__treq,octodns/octodns-ddns,d152390d,requests,treq,octodns@octodns-ddns__d152390d,requests__treq,7,7,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,30,0
j4asper@dmr.py__8f335fd5__requests__httpx,j4asper/dmr.py,8f335fd5,requests,httpx,j4asper@dmr.py__8f335fd5,requests__httpx,13,6,True,5,0.8333333333333334,-1,-1,False,-1,0.8333333333333334,-1,-1.0,False,-1,0.8333333333333334,-1,-1.0,0.8333333333333334,llmmig,,-1,-1,-1,-1,16,0
jacob-y@django-clean-architecture__103d89e4__requests__pycurl,jacob-y/django-clean-architecture,103d89e4,requests,pycurl,jacob-y@django-clean-architecture__103d89e4,requests__pycurl,15,15,True,12,0.8,-1,-1,False,-1,0.8,-1,-1.0,False,-1,0.8,-1,-1.0,0.8,llmmig,,-1,-1,-1,-1,38,0
growthbook@growthbook-python__699fba51__urllib3__aiohttp,growthbook/growthbook-python,699fba51,urllib3,aiohttp,growthbook@growthbook-python__699fba51,urllib3__aiohttp,451,451,True,446,0.9889135254988913,-1,-1,True,451,1.0,5,0.011210762331838564,False,-1,1.0,-1,-1.0,1.0,merge_skipped,,-1,-1,-1,-1,3,0
sarartur@chess.com__fdd85340__requests__treq,sarartur/chess.com,fdd85340,requests,treq,sarartur@chess.com__fdd85340,requests__treq,103,97,True,7,0.07216494845360824,-1,-1,False,-1,0.07216494845360824,-1,-1.0,False,-1,0.07216494845360824,-1,-1.0,0.07216494845360824,llmmig,,-1,-1,-1,-1,33,0
smartystreets@smartystreets-python-sdk__af56ea7f__requests__pycurl,smartystreets/smartystreets-python-sdk,af56ea7f,requests,pycurl,smartystreets@smartystreets-python-sdk__af56ea7f,requests__pycurl,83,83,True,73,0.8795180722891566,-1,-1,False,-1,0.8795180722891566,-1,-1.0,False,-1,0.8795180722891566,-1,-1.0,0.8795180722891566,llmmig,,-1,-1,-1,-1,71,0
blueprints-org@blueprints__b3bb6987__matplotlib__altair,blueprints-org/blueprints,b3bb6987,matplotlib,altair,blueprints-org@blueprints__b3bb6987,matplotlib__altair,1416,1416,True,1416,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,406,0
yihong0618@klingcreator__e567c6a1__requests__requests_futures,yihong0618/klingcreator,e567c6a1,requests,requests_futures,yihong0618@klingcreator__e567c6a1,requests__requests_futures,21,21,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,101,0
gugarosa@learnergy__870d8a6b__matplotlib__plotly,gugarosa/learnergy,870d8a6b,matplotlib,plotly,gugarosa@learnergy__870d8a6b,matplotlib__plotly,169,157,True,156,0.9936305732484076,-1,-1,False,-1,0.9936305732484076,-1,-1.0,False,-1,0.9936305732484076,-1,-1.0,0.9936305732484076,llmmig,,-1,-1,-1,-1,76,0
capitalone@edgetest__dfc8b73c__click__plac,capitalone/edgetest,dfc8b73c,click,plac,capitalone@edgetest__dfc8b73c,click__plac,56,36,True,32,0.8888888888888888,-1,-1,True,0,0.8888888888888888,-32,-1.0,False,-1,0.8888888888888888,-1,-1.0,0.8888888888888888,llmmig,,-1,-1,-1,-1,37,0
iterative@dvcyaml-schema__0cbc8bf7__jsonschema__cerberus,iterative/dvcyaml-schema,0cbc8bf7,jsonschema,cerberus,iterative@dvcyaml-schema__0cbc8bf7,jsonschema__cerberus,20,20,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,10,0
smartystreets@smartystreets-python-sdk__af56ea7f__requests__urllib3,smartystreets/smartystreets-python-sdk,af56ea7f,requests,urllib3,smartystreets@smartystreets-python-sdk__af56ea7f,requests__urllib3,83,83,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,63,0
raphaelm@python-fints__0dc1a801__requests__httpx,raphaelm/python-fints,0dc1a801,requests,httpx,raphaelm@python-fints__0dc1a801,requests__httpx,68,65,True,65,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,6,0
martin-majlis@wikipedia-api__a58db566__requests__treq,martin-majlis/wikipedia-api,a58db566,requests,treq,martin-majlis@wikipedia-api__a58db566,requests__treq,66,66,True,63,0.9545454545454546,-1,-1,False,-1,0.9545454545454546,-1,-1.0,False,-1,0.9545454545454546,-1,-1.0,0.9545454545454546,llmmig,,-1,-1,-1,-1,11,0
andreroggeri@pynubank__3a35d906__requests__requests_futures,andreroggeri/pynubank,3a35d906,requests,requests_futures,andreroggeri@pynubank__3a35d906,requests__requests_futures,328,327,True,71,0.21712538226299694,-1,-1,False,-1,0.21712538226299694,-1,-1.0,False,-1,0.21712538226299694,-1,-1.0,0.21712538226299694,llmmig,,-1,-1,-1,-1,49,0
arvatoaws-labs@k8soptimizer__212a7278__requests__requests_futures,arvatoaws-labs/k8soptimizer,212a7278,requests,requests_futures,arvatoaws-labs@k8soptimizer__212a7278,requests__requests_futures,47,47,True,47,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,14,0
skyme5@snapchat-dl__9b382d01__requests__pycurl,skyme5/snapchat-dl,9b382d01,requests,pycurl,skyme5@snapchat-dl__9b382d01,requests__pycurl,14,12,True,12,0.8333333333333334,-1,-1,False,-1,0.8333333333333334,-1,-1.0,False,-1,0.8333333333333334,-1,-1.0,0.8333333333333334,llmmig,,-1,-1,-1,-1,65,0
