id,repo,commit,source,target,repo_id,lib_pair_id,total_tests,premig_passed_tests,llmmig_has_result,llmmig_passed_tests,llmmig_correctness,llmmig_abs_improvement,llmmig_rel_improvement,merge_skipped_has_result,merge_skipped_passed_tests,merge_skipped_correctness,merge_skipped_abs_improvement,merge_skipped_rel_improvement,async_transform_has_result,async_transform_passed_tests,async_transform_correctness,async_transform_abs_improvement,async_transform_rel_improvement,overall_correctness,best_round,manual_edit_has_result,manual_edit_passed_tests,manual_edit_correctness,manual_edit_abs_improvement,manual_edit_rel_improvement,premig_to_best_migloc,best_to_manual_edit_migloc,dev_effort_saving
saleweaver@rapid-rest-client__79aa8970__requests__pycurl,saleweaver/rapid-rest-client,79aa8970,requests,pycurl,saleweaver@rapid-rest-client__79aa8970,requests__pycurl,9,9,True,8,0.8888888888888888,-1,-1,False,-1,0.8888888888888888,-1,-1.0,False,-1,0.8888888888888888,-1,-1.0,0.8888888888888888,llmmig,,-1,-1.0,-1,-1.0,175,0,
jborchma@qtrade__7f89efd9__requests__aiohttp,jborchma/qtrade,7f89efd9,requests,aiohttp,jborchma@qtrade__7f89efd9,requests__aiohttp,18,18,True,3,0.16666666666666666,-1,-1,True,0,0.16666666666666666,-3,-1.0,True,3,0.16666666666666666,0,0.0,0.16666666666666666,llmmig,,-1,-1.0,-1,-1.0,1138,0,
jaldekoa@bcra-wrapper__73c84046__requests__httpx,jaldekoa/bcra-wrapper,73c84046,requests,httpx,jaldekoa@bcra-wrapper__73c84046,requests__httpx,199,199,True,199,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,5,0,
icon-project@icon-sdk-python__50c75a50__requests__pycurl,icon-project/icon-sdk-python,50c75a50,requests,pycurl,icon-project@icon-sdk-python__50c75a50,requests__pycurl,134,129,True,69,0.5348837209302325,-1,-1,True,69,0.5348837209302325,0,0.0,False,-1,0.5348837209302325,-1,-1.0,0.5348837209302325,llmmig,,-1,-1.0,-1,-1.0,62,0,
medialab@casanova__38b9a281__urllib3__httpx,medialab/casanova,38b9a281,urllib3,httpx,medialab@casanova__38b9a281,urllib3__httpx,131,131,True,131,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,38,0,
aeroflorian@msteamsadaptivecard__417a13db__requests__httpx,aeroflorian/msteamsadaptivecard,417a13db,requests,httpx,aeroflorian@msteamsadaptivecard__417a13db,requests__httpx,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,6,0,
pymike00@tinychat__cade1f91__requests__pycurl,pymike00/tinychat,cade1f91,requests,pycurl,pymike00@tinychat__cade1f91,requests__pycurl,21,21,True,19,0.9047619047619048,-1,-1,False,-1,0.9047619047619048,-1,-1.0,False,-1,0.9047619047619048,-1,-1.0,0.9047619047619048,llmmig,,-1,-1.0,-1,-1.0,531,0,
josephbarbierdarnal@pyfonts__49bc8432__matplotlib__altair,josephbarbierdarnal/pyfonts,49bc8432,matplotlib,altair,josephbarbierdarnal@pyfonts__49bc8432,matplotlib__altair,31,31,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,7,0,
ioggstream@draft-polli-restapi-ld-keywords__f2cb1952__jsonschema__cerberus,ioggstream/draft-polli-restapi-ld-keywords,f2cb1952,jsonschema,cerberus,ioggstream@draft-polli-restapi-ld-keywords__f2cb1952,jsonschema__cerberus,12,12,True,12,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,11,0,
invinet@python-en16931__5e3a4a6c__requests__aiohttp,invinet/python-en16931,5e3a4a6c,requests,aiohttp,invinet@python-en16931__5e3a4a6c,requests__aiohttp,69,65,True,65,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,121,0,
seamile@jsonfmt__c6f6d17f__pygments__rich,seamile/jsonfmt,c6f6d17f,pygments,rich,seamile@jsonfmt__c6f6d17f,pygments__rich,50,48,True,31,0.6458333333333334,-1,-1,True,44,0.9166666666666666,13,0.41935483870967744,False,-1,0.9166666666666666,-1,-1.0,0.9166666666666666,merge_skipped,,-1,-1.0,-1,-1.0,24,0,
segmentio@analytics-python__603632f3__requests__aiohttp,segmentio/analytics-python,603632f3,requests,aiohttp,segmentio@analytics-python__603632f3,requests__aiohttp,79,78,True,70,0.8974358974358975,-1,-1,False,-1,0.8974358974358975,-1,-1.0,True,65,0.8974358974358975,-5,-0.07142857142857142,0.8974358974358975,llmmig,,-1,-1.0,-1,-1.0,657,0,
texzk@hexrec__a3553b56__click__plac,texzk/hexrec,a3553b56,click,plac,texzk@hexrec__a3553b56,click__plac,1354,1353,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,210,0,
evanp@ap__90969daf__tabulate__rich,evanp/ap,90969daf,tabulate,rich,evanp@ap__90969daf,tabulate__rich,48,48,True,39,0.8125,-1,-1,False,-1,0.8125,-1,-1.0,False,-1,0.8125,-1,-1.0,0.8125,llmmig,,-1,-1.0,-1,-1.0,158,0,
saaste@fmi-weather-client__dfdda122__requests__urllib3,saaste/fmi-weather-client,dfdda122,requests,urllib3,saaste@fmi-weather-client__dfdda122,requests__urllib3,21,21,True,9,0.42857142857142855,-1,-1,False,-1,0.42857142857142855,-1,-1.0,False,-1,0.42857142857142855,-1,-1.0,0.42857142857142855,llmmig,,-1,-1.0,-1,-1.0,38,0,
arvatoaws-labs@k8soptimizer__212a7278__requests__urllib3,arvatoaws-labs/k8soptimizer,212a7278,requests,urllib3,arvatoaws-labs@k8soptimizer__212a7278,requests__urllib3,47,47,True,47,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,1911,0,
eyeseast@python-frontmatter__025a94c2__toml__tomli,eyeseast/python-frontmatter,025a94c2,toml,tomli,eyeseast@python-frontmatter__025a94c2,toml__tomli,56,54,True,52,0.9629629629629629,-1,-1,False,-1,0.9629629629629629,-1,-1.0,False,-1,0.9629629629629629,-1,-1.0,0.9629629629629629,llmmig,,-1,-1.0,-1,-1.0,30,0,
saaste@fmi-weather-client__dfdda122__requests__treq,saaste/fmi-weather-client,dfdda122,requests,treq,saaste@fmi-weather-client__dfdda122,requests__treq,21,21,True,6,0.2857142857142857,-1,-1,False,-1,0.2857142857142857,-1,-1.0,True,17,0.8095238095238095,11,1.8333333333333333,0.8095238095238095,async_transform,,-1,-1.0,-1,-1.0,122,0,
j4asper@dmr.py__8f335fd5__requests__requests_futures,j4asper/dmr.py,8f335fd5,requests,requests_futures,j4asper@dmr.py__8f335fd5,requests__requests_futures,13,12,True,12,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,33,0,
trellis-ldp@py-ldnlib__83703c26__requests__requests_futures,trellis-ldp/py-ldnlib,83703c26,requests,requests_futures,trellis-ldp@py-ldnlib__83703c26,requests__requests_futures,13,13,True,1,0.07692307692307693,-1,-1,False,-1,0.07692307692307693,-1,-1.0,False,-1,0.07692307692307693,-1,-1.0,0.07692307692307693,llmmig,,-1,-1.0,-1,-1.0,23,0,
spiketools@spiketools__3df1ec3a__matplotlib__seaborn,spiketools/spiketools,3df1ec3a,matplotlib,seaborn,spiketools@spiketools__3df1ec3a,matplotlib__seaborn,212,209,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,291,0,
bormando@selenium-tools__52667925__urllib3__httpx,bormando/selenium-tools,52667925,urllib3,httpx,bormando@selenium-tools__52667925,urllib3__httpx,10,10,True,10,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,23,0,
python-cas@python-cas__5697dcc5__requests__pycurl,python-cas/python-cas,5697dcc5,requests,pycurl,python-cas@python-cas__5697dcc5,requests__pycurl,21,21,True,20,0.9523809523809523,-1,-1,False,-1,0.9523809523809523,-1,-1.0,False,-1,0.9523809523809523,-1,-1.0,0.9523809523809523,llmmig,,-1,-1.0,-1,-1.0,116,0,
pittcsc@pittapi__275fb928__urllib3__httpx,pittcsc/pittapi,275fb928,urllib3,httpx,pittcsc@pittapi__275fb928,urllib3__httpx,73,73,True,65,0.8904109589041096,-1,-1,False,-1,0.8904109589041096,-1,-1.0,False,-1,0.8904109589041096,-1,-1.0,0.8904109589041096,llmmig,,-1,-1.0,-1,-1.0,14,0,
chrispappalardo@eparse__6f799d21__click__typer,chrispappalardo/eparse,6f799d21,click,typer,chrispappalardo@eparse__6f799d21,click__typer,21,21,True,15,0.7142857142857143,-1,-1,True,0,0.7142857142857143,-15,-1.0,False,-1,0.7142857142857143,-1,-1.0,0.7142857142857143,llmmig,,-1,-1.0,-1,-1.0,158,0,
hwonyo@naver_talk_sdk__bf64ca59__requests__pycurl,hwonyo/naver_talk_sdk,bf64ca59,requests,pycurl,hwonyo@naver_talk_sdk__bf64ca59,requests__pycurl,60,60,True,23,0.38333333333333336,-1,-1,True,39,0.65,16,0.6956521739130435,False,-1,0.65,-1,-1.0,0.65,merge_skipped,,-1,-1.0,-1,-1.0,43,0,
martin-majlis@wikipedia-api__a58db566__requests__pycurl,martin-majlis/wikipedia-api,a58db566,requests,pycurl,martin-majlis@wikipedia-api__a58db566,requests__pycurl,66,66,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,74,0,
saleweaver@rapid-rest-client__79aa8970__requests__aiohttp,saleweaver/rapid-rest-client,79aa8970,requests,aiohttp,saleweaver@rapid-rest-client__79aa8970,requests__aiohttp,9,9,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1.0,-1,-1.0,84,0,
unpywall@unpywall__7909fde0__requests__pycurl,unpywall/unpywall,7909fde0,requests,pycurl,unpywall@unpywall__7909fde0,requests__pycurl,26,24,True,11,0.4583333333333333,-1,-1,True,16,0.6666666666666666,5,0.45454545454545453,False,-1,0.6666666666666666,-1,-1.0,0.6666666666666666,merge_skipped,,-1,-1.0,-1,-1.0,57,0,
github@evergreen__3189dd33__python-dotenv__environs,github/evergreen,3189dd33,python-dotenv,environs,github@evergreen__3189dd33,python-dotenv__environs,117,115,True,0,0.0,-1,-1,True,90,0.782608695652174,90,1.0,False,-1,0.782608695652174,-1,-1.0,0.782608695652174,merge_skipped,,-1,-1.0,-1,-1.0,165,0,
rochacbruno@dundie-rewards__e35d6be5__click__plac,rochacbruno/dundie-rewards,e35d6be5,click,plac,rochacbruno@dundie-rewards__e35d6be5,click__plac,27,26,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,115,0,
colour-science@colour-datasets__aa4ae7be__tqdm__progressbar2,colour-science/colour-datasets,aa4ae7be,tqdm,progressbar2,colour-science@colour-datasets__aa4ae7be,tqdm__progressbar2,107,105,True,0,0.0,-1,-1,True,70,0.6571428571428571,70,1.0,False,-1,0.6571428571428571,-1,-1.0,0.6571428571428571,merge_skipped,True,105,1.0,35,0.5,8,30,0.21052631578947367
alexferl@vyper__a0a6ea7f__toml__tomlkit,alexferl/vyper,a0a6ea7f,toml,tomlkit,alexferl@vyper__a0a6ea7f,toml__tomlkit,42,42,True,41,0.9761904761904762,-1,-1,False,-1,0.9761904761904762,-1,-1.0,False,-1,0.9761904761904762,-1,-1.0,0.9761904761904762,llmmig,,-1,-1.0,-1,-1.0,16,0,
julian@venvs__71ef4365__click__typer,julian/venvs,71ef4365,click,typer,julian@venvs__71ef4365,click__typer,83,77,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,294,0,
gugarosa@learnergy__870d8a6b__matplotlib__seaborn,gugarosa/learnergy,870d8a6b,matplotlib,seaborn,gugarosa@learnergy__870d8a6b,matplotlib__seaborn,169,169,True,167,0.9881656804733728,-1,-1,True,167,0.9881656804733728,0,0.0,False,-1,0.9881656804733728,-1,-1.0,0.9881656804733728,llmmig,,-1,-1.0,-1,-1.0,26,0,
mindsdb@mindsdb_sql__5a7cf55c__sqlalchemy__sqlobject,mindsdb/mindsdb_sql,5a7cf55c,sqlalchemy,sqlobject,mindsdb@mindsdb_sql__5a7cf55c,sqlalchemy__sqlobject,689,688,True,684,0.9941860465116279,-1,-1,True,684,0.9941860465116279,0,0.0,False,-1,0.9941860465116279,-1,-1.0,0.9941860465116279,llmmig,True,684,0.9941860465116279,0,0.0,250,0,
ornl@tx2__ce713605__tqdm__progressbar2,ornl/tx2,ce713605,tqdm,progressbar2,ornl@tx2__ce713605,tqdm__progressbar2,27,27,True,20,0.7407407407407407,-1,-1,True,0,0.7407407407407407,-20,-1.0,False,-1,0.7407407407407407,-1,-1.0,0.7407407407407407,llmmig,,-1,-1.0,-1,-1.0,175,0,
cskorpion@vmprof-firefox-converter__e1f6bb79__flask__cherrypy,cskorpion/vmprof-firefox-converter,e1f6bb79,flask,cherrypy,cskorpion@vmprof-firefox-converter__e1f6bb79,flask__cherrypy,59,56,True,56,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,133,0,
internetarchive@openlibrary-client__7e45d512__requests__pycurl,internetarchive/openlibrary-client,7e45d512,requests,pycurl,internetarchive@openlibrary-client__7e45d512,requests__pycurl,46,46,True,24,0.5217391304347826,-1,-1,True,0,0.5217391304347826,-24,-1.0,False,-1,0.5217391304347826,-1,-1.0,0.5217391304347826,llmmig,,-1,-1.0,-1,-1.0,358,0,
yihong0618@klingcreator__e567c6a1__requests__httpx,yihong0618/klingcreator,e567c6a1,requests,httpx,yihong0618@klingcreator__e567c6a1,requests__httpx,21,20,True,1,0.05,-1,-1,True,1,0.05,0,0.0,False,-1,0.05,-1,-1.0,0.05,llmmig,,-1,-1.0,-1,-1.0,52,0,
datamade@census__dd8b5b5e__requests__urllib3,datamade/census,dd8b5b5e,requests,urllib3,datamade@census__dd8b5b5e,requests__urllib3,17,17,True,0,0.0,-1,-1,True,1,0.058823529411764705,1,1.0,False,-1,0.058823529411764705,-1,-1.0,0.058823529411764705,merge_skipped,,-1,-1.0,-1,-1.0,73,0,
python-cas@python-cas__5697dcc5__requests__aiohttp,python-cas/python-cas,5697dcc5,requests,aiohttp,python-cas@python-cas__5697dcc5,requests__aiohttp,21,21,True,1,0.047619047619047616,-1,-1,True,0,0.047619047619047616,-1,-1.0,False,-1,0.047619047619047616,-1,-1.0,0.047619047619047616,llmmig,,-1,-1.0,-1,-1.0,62,0,
pklauke@pycamunda__fdab7274__requests__treq,pklauke/pycamunda,fdab7274,requests,treq,pklauke@pycamunda__fdab7274,requests__treq,999,999,True,0,0.0,-1,-1,True,0,0.0,0,0.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1.0,-1,-1.0,3631,0,
treasure-data@td-client-python__099f9578__urllib3__httpx,treasure-data/td-client-python,099f9578,urllib3,httpx,treasure-data@td-client-python__099f9578,urllib3__httpx,292,290,True,75,0.25862068965517243,-1,-1,True,75,0.25862068965517243,0,0.0,False,-1,0.25862068965517243,-1,-1.0,0.25862068965517243,llmmig,,-1,-1.0,-1,-1.0,227,0,
opendilab@di-toolkit__8d728a42__tqdm__progressbar2,opendilab/di-toolkit,8d728a42,tqdm,progressbar2,opendilab@di-toolkit__8d728a42,tqdm__progressbar2,55,54,True,54,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,44,0,
giuliorossetti@ash__1106b609__tqdm__progressbar2,giuliorossetti/ash,1106b609,tqdm,progressbar2,giuliorossetti@ash__1106b609,tqdm__progressbar2,80,79,True,79,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,5,0,
goranvrbaski@python-namesilo__4c867e65__requests__httpx,goranvrbaski/python-namesilo,4c867e65,requests,httpx,goranvrbaski@python-namesilo__4c867e65,requests__httpx,32,32,True,10,0.3125,-1,-1,True,30,0.9375,20,2.0,False,-1,0.9375,-1,-1.0,0.9375,merge_skipped,,-1,-1.0,-1,-1.0,5,0,
octodns@octodns-ddns__d152390d__requests__treq,octodns/octodns-ddns,d152390d,requests,treq,octodns@octodns-ddns__d152390d,requests__treq,7,7,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1.0,-1,-1.0,111,0,
j4asper@dmr.py__8f335fd5__requests__httpx,j4asper/dmr.py,8f335fd5,requests,httpx,j4asper@dmr.py__8f335fd5,requests__httpx,13,12,True,9,0.75,-1,-1,False,-1,0.75,-1,-1.0,False,-1,0.75,-1,-1.0,0.75,llmmig,,-1,-1.0,-1,-1.0,6,0,
jacob-y@django-clean-architecture__103d89e4__requests__pycurl,jacob-y/django-clean-architecture,103d89e4,requests,pycurl,jacob-y@django-clean-architecture__103d89e4,requests__pycurl,15,15,True,12,0.8,-1,-1,False,-1,0.8,-1,-1.0,False,-1,0.8,-1,-1.0,0.8,llmmig,,-1,-1.0,-1,-1.0,76,0,
growthbook@growthbook-python__699fba51__urllib3__aiohttp,growthbook/growthbook-python,699fba51,urllib3,aiohttp,growthbook@growthbook-python__699fba51,urllib3__aiohttp,451,451,True,0,0.0,-1,-1,True,446,0.9889135254988913,446,1.0,False,-1,0.9889135254988913,-1,-1.0,0.9889135254988913,merge_skipped,,-1,-1.0,-1,-1.0,36,0,
sarartur@chess.com__fdd85340__requests__treq,sarartur/chess.com,fdd85340,requests,treq,sarartur@chess.com__fdd85340,requests__treq,103,97,True,5,0.05154639175257732,-1,-1,True,5,0.05154639175257732,0,0.0,False,-1,0.05154639175257732,-1,-1.0,0.05154639175257732,llmmig,,-1,-1.0,-1,-1.0,42,0,
smartystreets@smartystreets-python-sdk__af56ea7f__requests__pycurl,smartystreets/smartystreets-python-sdk,af56ea7f,requests,pycurl,smartystreets@smartystreets-python-sdk__af56ea7f,requests__pycurl,83,83,True,73,0.8795180722891566,-1,-1,False,-1,0.8795180722891566,-1,-1.0,False,-1,0.8795180722891566,-1,-1.0,0.8795180722891566,llmmig,,-1,-1.0,-1,-1.0,149,0,
blueprints-org@blueprints__b3bb6987__matplotlib__altair,blueprints-org/blueprints,b3bb6987,matplotlib,altair,blueprints-org@blueprints__b3bb6987,matplotlib__altair,1416,1416,True,1398,0.9872881355932204,-1,-1,True,0,0.9872881355932204,-1398,-1.0,False,-1,0.9872881355932204,-1,-1.0,0.9872881355932204,llmmig,,-1,-1.0,-1,-1.0,305,0,
yihong0618@klingcreator__e567c6a1__requests__requests_futures,yihong0618/klingcreator,e567c6a1,requests,requests_futures,yihong0618@klingcreator__e567c6a1,requests__requests_futures,21,20,True,2,0.1,-1,-1,True,2,0.1,0,0.0,False,-1,0.1,-1,-1.0,0.1,llmmig,,-1,-1.0,-1,-1.0,40,0,
gugarosa@learnergy__870d8a6b__matplotlib__plotly,gugarosa/learnergy,870d8a6b,matplotlib,plotly,gugarosa@learnergy__870d8a6b,matplotlib__plotly,169,169,True,169,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,107,0,
sudiptob2@cf-stats__ce93670b__requests__httpx,sudiptob2/cf-stats,ce93670b,requests,httpx,sudiptob2@cf-stats__ce93670b,requests__httpx,10,10,True,10,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,14,0,
capitalone@edgetest__dfc8b73c__click__plac,capitalone/edgetest,dfc8b73c,click,plac,capitalone@edgetest__dfc8b73c,click__plac,56,50,True,32,0.64,-1,-1,True,0,0.64,-32,-1.0,False,-1,0.64,-1,-1.0,0.64,llmmig,,-1,-1.0,-1,-1.0,72,0,
iterative@dvcyaml-schema__0cbc8bf7__jsonschema__cerberus,iterative/dvcyaml-schema,0cbc8bf7,jsonschema,cerberus,iterative@dvcyaml-schema__0cbc8bf7,jsonschema__cerberus,20,20,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,11,0,
smartystreets@smartystreets-python-sdk__af56ea7f__requests__urllib3,smartystreets/smartystreets-python-sdk,af56ea7f,requests,urllib3,smartystreets@smartystreets-python-sdk__af56ea7f,requests__urllib3,83,83,True,73,0.8795180722891566,-1,-1,False,-1,0.8795180722891566,-1,-1.0,False,-1,0.8795180722891566,-1,-1.0,0.8795180722891566,llmmig,,-1,-1.0,-1,-1.0,115,0,
bigcommerce@bigcommerce-api-python__599b27e6__requests__httpx,bigcommerce/bigcommerce-api-python,599b27e6,requests,httpx,bigcommerce@bigcommerce-api-python__599b27e6,requests__httpx,38,38,True,0,0.0,-1,-1,True,28,0.7368421052631579,28,1.0,False,-1,0.7368421052631579,-1,-1.0,0.7368421052631579,merge_skipped,,-1,-1.0,-1,-1.0,22,0,
raphaelm@python-fints__0dc1a801__requests__httpx,raphaelm/python-fints,0dc1a801,requests,httpx,raphaelm@python-fints__0dc1a801,requests__httpx,68,65,True,65,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,8,0,
martin-majlis@wikipedia-api__a58db566__requests__treq,martin-majlis/wikipedia-api,a58db566,requests,treq,martin-majlis@wikipedia-api__a58db566,requests__treq,66,66,True,2,0.030303030303030304,-1,-1,True,0,0.030303030303030304,-2,-1.0,True,63,0.9545454545454546,61,30.5,0.9545454545454546,async_transform,,-1,-1.0,-1,-1.0,1263,0,
