Label,cc id,mig,file,cc,cc status,source APIs,target APIs,source program elements,target program elements,cardinality,properties
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__100:102__0,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,100:102__0,pass - auto match,flash,flash,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__105:107__1,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,105:107__1,pass - auto match,flash,flash,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__235:243__2,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,235:243__2,pass - auto match,flash,flash,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__237:245__3,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,237:245__3,pass - auto match,flash,flash,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__166:172__4,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,166:172__4,pass - auto match,render_template,render_template,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__195:202__5,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,195:202__5,pass - auto match,render_template,render_template,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__242:250__6,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,242:250__6,pass - auto match,render_template,render_template,function call,function call,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__20:20__7,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,20:20__7,pass - auto match,flask.Flask,quart.Quart,import,import,not applicable,
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__28:28__8,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,28:28__8,pass - auto match,Flask,Quart,function call,function call,one-to-one,element name change
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__188:194__9,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,188:194__9,pass - auto match,form,form,attribute,attribute,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__212:219__10,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,212:219__10,pass - auto match,form,form,attribute,attribute,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__59:59__11,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,59:59__11,pass - auto match,form,form,attribute,attribute,one-to-one,async transformation
"success, Correct",flask__quart__synesthesiam/voice2json__7ea7ddb8__web/app.py__95:96__12,flask__quart__synesthesiam/voice2json__7ea7ddb8,web/app.py,95:96__12,pass - auto match,files,files,attribute,attribute,one-to-one,async transformation
"success, Incorrect","migrate__alembic__kickstandproject/payload__ffeff6a3__stripe/db/sqlalchemy/migration.py__20,24,54-56:21-23__0",migrate__alembic__kickstandproject/payload__ffeff6a3,stripe/db/sqlalchemy/migration.py,"20,24,54-56:21-23__0",fail - incorrect attempt,migrate;migrate.versioning.util;migrate.exceptions;migrate.versioning.api;migrate.versioning.repository.Repository,alembic.command;alembic.config;alembic.migration,import,import,not applicable,
"success, Incorrect",neutron__neutron-lib__openstack/networking-generic-switch__c6f4b71b__networking_generic_switch/exceptions.py__15:15__0,neutron__neutron-lib__openstack/networking-generic-switch__c6f4b71b,networking_generic_switch/exceptions.py,15:15__0,fail - incorrect attempt,neutron.plugins.ml2.common.exceptions,neutron_lib.exceptions,import,import,not applicable,
"success, Incorrect",neutron__neutron-lib__openstack/networking-generic-switch__c6f4b71b__networking_generic_switch/exceptions.py__20:20__1,neutron__neutron-lib__openstack/networking-generic-switch__c6f4b71b,networking_generic_switch/exceptions.py,20:20__1,fail - incorrect attempt,MechanismDriverError,NeutronException,type,type,one-to-one,element name change
"success, Correct with extra changes",pycrypto__cryptography__freeopcua/opcua-asyncio__cdaff157__opcua/uacrypto.py__8-15:3-7__0,pycrypto__cryptography__freeopcua/opcua-asyncio__cdaff157,opcua/uacrypto.py,8-15:3-7__0,pass - auto match,Crypto.Signature.PKCS1_v1_5;Crypto.Hash.SHA256;Crypto.Hash.SHA;Crypto.PublicKey.RSA;Crypto.Cipher.AES;Crypto.Cipher.PKCS1_OAEP;Crypto.Hash;Crypto.Random,cryptography.x509;cryptography.hazmat.backends.default_backend;cryptography.hazmat.primitives.serialization;cryptography.hazmat.primitives.hashes;cryptography.hazmat.primitives.asymmetric.padding,import,import,not applicable,
"success, Partially Correct",pycrypto__pycryptodome__hhyo/archery__e192ca69__sql/utils/aes_decryptor.py__26:26__0,pycrypto__pycryptodome__hhyo/archery__e192ca69,sql/utils/aes_decryptor.py,26:26__0,fail - no attempt,encrypt,encrypt,function call,function call,one-to-one,argument transformation
"success, Partially Correct",ufolib__fonttools__googlefonts/cu2qu__3543e4f2__Lib/cu2qu/pens.py__5:5__0,ufolib__fonttools__googlefonts/cu2qu__3543e4f2,Lib/cu2qu/pens.py,5:5__0,fail - incorrect attempt,ufoLib.pointPen.BasePointToSegmentPen,fontTools.pens.pointPen.BasePointToSegmentPen,import,import,not applicable,
"success, Partially Correct",ufolib__fonttools__googlefonts/cu2qu__3543e4f2__Lib/cu2qu/pens.py__6:6__1,ufolib__fonttools__googlefonts/cu2qu__3543e4f2,Lib/cu2qu/pens.py,6:6__1,fail - incorrect attempt,ufoLib.pointPen.ReverseContourPointPen,fontTools.pens.pointPen.ReverseContourPointPen,import,import,not applicable,
"success, Partially Correct",ufolib__fonttools__googlefonts/cu2qu__3543e4f2__tests/__init__.py__2:2__0,ufolib__fonttools__googlefonts/cu2qu__3543e4f2,tests/__init__.py,2:2__0,fail - incorrect attempt,ufoLib.glifLib.GlyphSet,fontTools.ufoLib.glifLib.GlyphSet,import,import,not applicable,
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__64:__0,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,64:__0,pass - correctly removed,Client,,function call,,one-to-zero,
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__89:__1,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,89:__1,pass - correctly removed,Client,,function call,,one-to-zero,
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__65:66-67__2,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,65:66-67__2,fail - incorrect attempt,get,blank;get_response,function call,function call;function call,one-to-many,argument addition;element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__67:70-71__3,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,67:70-71__3,fail - incorrect attempt,get,blank;get_response,function call,function call;function call,one-to-many,argument addition;element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__91:97-98__4,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,91:97-98__4,fail - incorrect attempt,get,blank;get_response,function call,function call;function call,one-to-many,argument addition;element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__65:68__5,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,65:68__5,fail - incorrect attempt,data,text,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__102:110__6,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,102:110__6,pass - auto match,data,body,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__69:73__7,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,69:73__7,pass - auto match,data,body,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__95:102__8,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,95:102__8,pass - auto match,data,body,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__7-8:7__9,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,7-8:7__9,fail - incorrect attempt,werkzeug.test.Client;werkzeug.test.Client,webob.Request,import,import,not applicable,
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__100:108__10,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,100:108__10,pass - auto match,mimetype,content_type,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__70:74__11,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,70:74__11,pass - auto match,mimetype,content_type,attribute,attribute,one-to-one,element name change
"success, Partially Correct",werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b__tests/stores/fs_test.py__93:100__12,werkzeug__webob__dahlia/sqlalchemy-imageattach__7cd3ca5b,tests/stores/fs_test.py,93:100__12,pass - auto match,mimetype,content_type,attribute,attribute,one-to-one,element name change
